Token           Lexeme
-----           ------
keyword         function
identifier      add
separator       (
identifier      a
keyword         integer
separator       )
separator       {
keyword         return
identifier      a
operator        +
integer         10
separator       ;
separator       }
separator       #
keyword         integer
identifier      num
separator       ;
identifier      num
operator        =
integer         20
separator       ;
keyword         while
separator       (
identifier      num
operator        >
integer         0
separator       )
separator       {
identifier      num
operator        =
identifier      num
operator        -
integer         1
separator       ;
separator       }
separator       #
